file	disposition	layer	package	n_toplevel	foreign_cffi	ext_libs	qualified_refs(APPROX;unqualified/dynamic=UNKNOWN)	kinds
blockchain-authority.lisp	REMOVE	—	orchestrator.blockchain-authority	54	no	alexandria,babel,cl-base64,drakma,ironclad,jonathan,uiop	UNKNOWN-none-qualified	defconstant:4,defgeneric:1,define-condition:3,defmethod:5,defstruct:1,defun:33,defvar:7
canonical-representation.lisp	REUSE	§4.10	orchestrator.canonical-representation	24	no	babel,cl-ppcre,ieee-floats,ironclad	UNKNOWN-none-qualified	defstruct:1,defun:20,defvar:3
canonical-uris.lisp	REUSE	§4.11	orchestrator.uris	22	no	-	orchestrator.trace	defparameter:1,defun:21
capability-api.lisp	REUSE	§4.7, §4.12	orchestrator.capability-api	8	no	-	UNKNOWN-none-qualified	define-condition:1,defparameter:1,defun:6
capability-registry.lisp	REUSE	L9	orchestrator.capability	21	no	-	orchestrator.paths	define-condition:2,defmacro:1,defparameter:3,defun:15
circuit-breaker.lisp	REUSE	§4.14	orchestrator.circuit-breaker	21	no	-	orchestrator.time	defclass:1,defconstant:4,define-condition:1,defmacro:1,defun:12,defvar:2
citation-authority.lisp	EXTEND	§4.9, §4.13	orchestrator.citation-authority	32	no	-	orchestrator.greek-tokenizer,orchestrator.spec	defparameter:1,defun:31
cognition.lisp	REUSE	CORE	orchestrator.cognition	22	no	-	orchestrator.deliberation	defclass:2,defgeneric:6,defun:11,defvar:3
component-scan.lisp	REUSE	L9	orchestrator.component-scan	20	no	cl-ppcre,ironclad,uiop	orchestrator.components,orchestrator.contracts,orchestrator.paths,orchestrator.safe-read,orchestrator.self-model	defun:18,defvar:2
components.lisp	REUSE	L9	orchestrator.components	14	no	-	UNKNOWN-none-qualified	define-condition:1,defun:11,defvar:2
config.lisp	REUSE	—	orchestrator.config	7	no	cl-yaml	UNKNOWN-none-qualified	defparameter:1,defun:6
consolidation-bridge.lisp	REUSE	§4.5	orchestrator.consolidation.bridge	16	no	-	orchestrator.amendment-extractor,orchestrator.time	defun:16
consolidation-engine.lisp	REUSE	§4.5, §4.6	orchestrator.consolidation	23	no	-	UNKNOWN-none-qualified	defgeneric:1,define-condition:1,defun:20,defvar:1
consolidation-feed.lisp	REUSE	§4.5	orchestrator.consolidation.feed	5	no	-	UNKNOWN-none-qualified	defstruct:1,defun:4
consolidation-proof.lisp	REUSE	§4.5, §4.7	orchestrator.consolidation	11	no	babel,ironclad	UNKNOWN-none-qualified	defclass:2,defmethod:3,defun:6
constitutional-gate.lisp	REUSE	L10	orchestrator.constitution	6	no	uiop	UNKNOWN-none-qualified	defun:5,defvar:1
contracts.lisp	REUSE	L10	orchestrator.contracts	14	no	-	UNKNOWN-none-qualified	defmacro:1,defparameter:1,defun:10,defvar:2
corpus-diff.lisp	EXTEND	§4.7, §4.12	orchestrator.corpus-diff	6	no	-	UNKNOWN-none-qualified	defun:6
